time/episodes,time/total_timesteps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length,eval/success_rate,train/critic_loss,train/ent_coef,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss
4,64,1,0.0,-6.86739375,32,16.0,,,,,,,,,
8,128,3,0.0,-6.563796125,34,16.0,,,,,,,,,
12,192,5,0.0,-7.2015641666666665,35,16.0,,,,,,,,,
16,256,7,0.0,-6.996009062500001,34,16.0,,,,,,,,,
20,320,9,0.0,-6.965699250000002,35,16.0,,,,,,,,,
24,384,10,0.0,-6.909984708333333,35,16.0,,,,,,,,,
28,448,12,0.0,-6.830782571428571,36,16.0,,,,,,,,,
32,512,13,0.0,-6.86775209375,36,16.0,,,,,,,,,
36,576,15,0.0,-6.916196583333334,37,16.0,,,,,,,,,
40,640,17,0.0,-6.857699524999999,37,16.0,,,,,,,,,
44,704,18,0.0,-6.857439840909091,37,16.0,,,,,,,,,
48,768,20,0.0,-6.891188666666667,37,16.0,,,,,,,,,
52,832,22,0.0,-6.828868019230769,37,16.0,,,,,,,,,
56,896,23,0.0,-7.048168535714285,37,16.0,,,,,,,,,
60,960,25,0.0,-7.0275093166666665,37,16.0,,,,,,,,,
,1000,,,,,,-6.4387524,16.0,0.0,,,,,,
64,1024,30,0.0,-6.9902963125,33,16.0,,,,3.343383550643921,0.9934142231941223,23,0.0003,-0.044552069157361984,-3.1724207401275635
68,1088,32,0.0,-6.988614411764706,33,16.0,,,,0.10103332251310349,0.9744928479194641,87,0.0003,-0.17381536960601807,-5.150174617767334
72,1152,35,0.0,-7.050969055555556,32,16.0,,,,0.09386907517910004,0.9559493064880371,151,0.0003,-0.3024948239326477,-5.3609700202941895
76,1216,37,0.0,-7.092726171052633,32,16.0,,,,0.07721017301082611,0.9377639293670654,215,0.0003,-0.433227002620697,-5.741652011871338
80,1280,40,0.0,-7.19742085,31,16.0,,,,0.07051762193441391,0.9199214577674866,279,0.0003,-0.5592151284217834,-6.091835975646973
84,1344,43,0.0,-7.2852762261904775,31,16.0,,,,0.04945177957415581,0.9024214744567871,343,0.0003,-0.6882050037384033,-6.482907295227051
88,1408,45,0.0,-7.240864568181817,30,16.0,,,,0.044147882610559464,0.8852543830871582,407,0.0003,-0.8220973610877991,-6.903471946716309
92,1472,48,0.0,-7.233476195652173,30,16.0,,,,0.03110252320766449,0.8684160709381104,471,0.0003,-0.9486580491065979,-7.300851821899414
96,1536,51,0.0,-7.2456859375,29,16.0,,,,0.04130779951810837,0.8518977761268616,535,0.0003,-1.0789753198623657,-7.664273262023926
100,1600,53,0.0,-7.232778170000001,29,16.0,,,,0.02724515274167061,0.8356902003288269,599,0.0003,-1.2096632719039917,-8.111532211303711
104,1664,56,0.0,-7.310944430000001,29,16.0,,,,0.04339064657688141,0.8197957873344421,663,0.0003,-1.342120885848999,-8.483699798583984
108,1728,59,0.0,-7.412455809999999,29,16.0,,,,0.02649005502462387,0.8041937351226807,727,0.0003,-1.4638283252716064,-8.837773323059082
112,1792,62,0.0,-7.311618779999999,28,16.0,,,,0.03785412758588791,0.788893461227417,791,0.0003,-1.6033883094787598,-9.255213737487793
116,1856,64,0.0,-7.3843352200000005,28,16.0,,,,0.0313708633184433,0.7738825678825378,855,0.0003,-1.7223131656646729,-9.596216201782227
120,1920,67,0.0,-7.432695149999998,28,16.0,,,,0.038877472281455994,0.7591611742973328,919,0.0003,-1.8598122596740723,-9.94122314453125
124,1984,70,0.0,-7.552321199999998,28,16.0,,,,0.045890290290117264,0.7447258234024048,983,0.0003,-1.994118094444275,-10.222107887268066
,2000,,,,,,-7.371296200000001,16.0,0.0,0.041384655982255936,0.7411578297615051,999,0.0003,-2.0220706462860107,-10.358087539672852
128,2048,76,0.0,-7.5509493999999995,26,16.0,,,,0.039254702627658844,0.7305559515953064,1047,0.0003,-2.117422342300415,-10.612016677856445
132,2112,79,0.0,-7.59193171,26,16.0,,,,0.041821613907814026,0.7166571021080017,1111,0.0003,-2.24114727973938,-10.91691780090332
136,2176,81,0.0,-7.6201928400000005,26,16.0,,,,0.03698641061782837,0.7030245065689087,1175,0.0003,-2.3707940578460693,-11.282562255859375
140,2240,84,0.0,-7.7492750400000014,26,16.0,,,,0.04465862363576889,0.6896523237228394,1239,0.0003,-2.491999626159668,-11.59657096862793
144,2304,86,0.0,-7.80419749,26,16.0,,,,0.08481810986995697,0.6765368580818176,1303,0.0003,-2.6280336380004883,-11.788789749145508
148,2368,89,0.0,-7.7874838,26,16.0,,,,0.0408620648086071,0.6636710166931152,1367,0.0003,-2.760364294052124,-12.119722366333008
152,2432,92,0.0,-7.793779609999999,26,16.0,,,,0.025545863434672356,0.6510463953018188,1431,0.0003,-2.8889315128326416,-12.527816772460938
156,2496,94,0.0,-7.939904749999999,26,16.0,,,,0.036188580095767975,0.6386678814888,1495,0.0003,-3.0212271213531494,-12.70941162109375
160,2560,97,0.0,-7.93523967,26,16.0,,,,0.04361531883478165,0.6265212893486023,1559,0.0003,-3.1506290435791016,-12.984525680541992
164,2624,99,0.0,-7.947298229999999,26,16.0,,,,0.03995973616838455,0.6146073341369629,1623,0.0003,-3.2725939750671387,-13.300265312194824
168,2688,102,0.0,-8.05849532,26,16.0,,,,0.03825995326042175,0.602915346622467,1687,0.0003,-3.3968443870544434,-13.442834854125977
172,2752,105,0.0,-8.01410624,26,16.0,,,,0.050624120980501175,0.5914516448974609,1751,0.0003,-3.5359063148498535,-13.570337295532227
176,2816,107,0.0,-7.97334372,26,16.0,,,,0.04353109002113342,0.5802013874053955,1815,0.0003,-3.667706251144409,-13.577526092529297
180,2880,110,0.0,-7.91730887,26,16.0,,,,0.03206164389848709,0.5691673755645752,1879,0.0003,-3.7946064472198486,-14.109623908996582
184,2944,113,0.0,-7.8148597099999995,25,16.0,,,,0.03719853609800339,0.5583450198173523,1943,0.0003,-3.9311459064483643,-14.406458854675293
,3000,,,,,,-6.6165007000000005,16.0,0.0,0.03503624349832535,0.5490372776985168,1999,0.0003,-4.037696361541748,-14.333580017089844
188,3008,119,0.0,-7.837087989999999,25,16.0,,,,0.04900556057691574,0.5477209687232971,2007,0.0003,-4.053990364074707,-14.539900779724121
192,3072,122,0.0,-7.94417936,25,16.0,,,,0.052625879645347595,0.5373061299324036,2071,0.0003,-4.193153381347656,-14.550639152526855
196,3136,125,0.0,-7.92008114,25,16.0,,,,0.053670965135097504,0.5270865559577942,2135,0.0003,-4.315756797790527,-14.78344440460205
200,3200,127,0.0,-8.028846380000001,25,16.0,,,,0.05594876408576965,0.5170600414276123,2199,0.0003,-4.432976245880127,-15.076327323913574
204,3264,130,0.0,-7.9475101000000015,25,16.0,,,,0.03748159855604172,0.5072274208068848,2263,0.0003,-4.558833122253418,-15.168252944946289
208,3328,133,0.0,-7.84751211,25,16.0,,,,0.056946028023958206,0.4975845217704773,2327,0.0003,-4.734973430633545,-15.721978187561035
212,3392,135,0.0,-7.88228456,25,16.0,,,,0.053531087934970856,0.48811739683151245,2391,0.0003,-4.811954021453857,-15.416849136352539
216,3456,138,0.0,-7.835048909999999,25,16.0,,,,0.05317578464746475,0.4788389801979065,2455,0.0003,-4.97700309753418,-15.380489349365234
220,3520,140,0.0,-7.766642510000001,25,16.0,,,,0.0753469169139862,0.4697308838367462,2519,0.0003,-5.094682216644287,-15.696195602416992
224,3584,143,0.0,-7.63828715,25,16.0,,,,0.08733195811510086,0.460798054933548,2583,0.0003,-5.213872909545898,-15.87477970123291
228,3648,146,0.0,-7.646153029999998,24,16.0,,,,0.05625440552830696,0.4520401954650879,2647,0.0003,-5.351898193359375,-15.941757202148438
232,3712,148,0.0,-7.6220059000000004,24,16.0,,,,0.03284089267253876,0.44344714283943176,2711,0.0003,-5.459970474243164,-16.276378631591797
236,3776,151,0.0,-7.5885564599999995,24,16.0,,,,0.09835606813430786,0.4350166916847229,2775,0.0003,-5.59656286239624,-16.30050277709961
240,3840,154,0.0,-7.901944429999999,24,16.0,,,,0.08414679765701294,0.42674732208251953,2839,0.0003,-5.727158546447754,-16.301971435546875
244,3904,156,0.0,-7.88426274,24,16.0,,,,0.14009615778923035,0.4186346232891083,2903,0.0003,-5.8630523681640625,-16.84174919128418
248,3968,159,0.0,-8.00387954,24,16.0,,,,0.14267584681510925,0.41067826747894287,2967,0.0003,-6.00253438949585,-16.373180389404297
,4000,,,,,,-6.5439476,16.0,0.0,0.05833498015999794,0.40675899386405945,2999,0.0003,-6.048344612121582,-16.394412994384766
252,4032,165,0.0,-8.01469436,24,16.0,,,,0.14126241207122803,0.402878075838089,3031,0.0003,-6.085008144378662,-16.435636520385742
256,4096,167,0.0,-7.7648491800000015,24,16.0,,,,0.27900421619415283,0.3952246904373169,3095,0.0003,-6.24092435836792,-16.620189666748047
260,4160,170,0.0,-7.770752600000001,24,16.0,,,,0.1429593861103058,0.3877170979976654,3159,0.0003,-6.363173961639404,-16.636110305786133
264,4224,173,0.0,-7.940415829999999,24,16.0,,,,0.1631374955177307,0.38035356998443604,3223,0.0003,-6.486745834350586,-16.854106903076172
268,4288,175,0.0,-7.837388520000001,24,16.0,,,,0.29458510875701904,0.37312453985214233,3287,0.0003,-6.633638858795166,-16.661497116088867
272,4352,178,0.0,-7.841441820000001,24,16.0,,,,0.2301388680934906,0.3660373389720917,3351,0.0003,-6.7543463706970215,-16.077768325805664
276,4416,181,0.0,-7.962252179999999,24,16.0,,,,0.0958501547574997,0.35909122228622437,3415,0.0003,-6.868991374969482,-16.127431869506836
280,4480,184,0.0,-8.05758235,24,16.0,,,,0.19524504244327545,0.35227417945861816,3479,0.0003,-7.017122268676758,-16.70969581604004
284,4544,186,0.0,-8.05098792,24,16.0,,,,0.41946208477020264,0.3455891013145447,3543,0.0003,-7.119318962097168,-16.749515533447266
288,4608,189,0.0,-8.044769969999999,24,16.0,,,,0.15982097387313843,0.33903002738952637,3607,0.0003,-7.248027801513672,-16.515329360961914
292,4672,191,0.0,-7.926627120000002,24,16.0,,,,0.17515602707862854,0.33260050415992737,3671,0.0003,-7.355849266052246,-16.851716995239258
296,4736,194,0.0,-7.918877799999999,24,16.0,,,,0.17385756969451904,0.3262961804866791,3735,0.0003,-7.484959125518799,-17.105213165283203
300,4800,197,0.0,-7.791059510000001,24,16.0,,,,0.19340470433235168,0.32010921835899353,3799,0.0003,-7.647354602813721,-16.468856811523438
304,4864,200,0.0,-7.809192989999999,24,16.0,,,,0.17421318590641022,0.314039945602417,3863,0.0003,-7.733571529388428,-17.17201042175293
308,4928,202,0.0,-7.871496810000001,24,16.0,,,,0.2644475996494293,0.30809488892555237,3927,0.0003,-7.875319480895996,-16.967016220092773
312,4992,205,0.0,-8.000120279999999,24,16.0,,,,0.5130724906921387,0.3022559583187103,3991,0.0003,-7.9743170738220215,-15.40578842163086
,5000,,,,,,-7.8570509,16.0,0.0,0.3057052493095398,0.3015337884426117,3999,0.0003,-7.982959747314453,-16.005950927734375
316,5056,212,0.0,-8.07382952,23,16.0,,,,0.39289748668670654,0.29653671383857727,4055,0.0003,-8.140813827514648,-16.329421997070312
320,5120,214,0.0,-8.071274190000002,23,16.0,,,,0.44137585163116455,0.2909296452999115,4119,0.0003,-8.226316452026367,-16.297544479370117
324,5184,217,0.0,-8.0616294,23,16.0,,,,0.14396411180496216,0.2854222059249878,4183,0.0003,-8.413933753967285,-16.825897216796875
328,5248,220,0.0,-8.16030889,23,16.0,,,,0.34209921956062317,0.28002452850341797,4247,0.0003,-8.4599609375,-16.142099380493164
332,5312,223,0.0,-8.18994894,23,16.0,,,,0.3945760130882263,0.27473437786102295,4311,0.0003,-8.57210922241211,-15.74606990814209
336,5376,225,0.0,-8.18195583,23,16.0,,,,0.14389750361442566,0.2695380747318268,4375,0.0003,-8.726491928100586,-15.999063491821289
340,5440,228,0.0,-7.86977345,23,16.0,,,,0.35238465666770935,0.2644466161727905,4439,0.0003,-8.809054374694824,-16.40784454345703
344,5504,231,0.0,-7.875282100000001,23,16.0,,,,0.47468098998069763,0.25945398211479187,4503,0.0003,-9.007301330566406,-15.6946382522583
348,5568,233,0.0,-7.7576301899999995,23,16.0,,,,0.21378768980503082,0.2545478641986847,4567,0.0003,-9.125268936157227,-16.41748809814453
352,5632,236,0.0,-7.773321920000001,23,16.0,,,,0.37123987078666687,0.24973300099372864,4631,0.0003,-9.31434440612793,-15.640509605407715
356,5696,239,0.0,-7.757670470000001,23,16.0,,,,0.48730772733688354,0.2450096607208252,4695,0.0003,-9.299606323242188,-14.790224075317383
360,5760,241,0.0,-7.746606369999999,23,16.0,,,,0.30547696352005005,0.2403792291879654,4759,0.0003,-9.475996971130371,-15.365145683288574
364,5824,244,0.0,-7.5637906,23,16.0,,,,0.3944423794746399,0.23582884669303894,4823,0.0003,-9.623884201049805,-15.449304580688477
368,5888,247,0.0,-7.5647236,23,16.0,,,,0.4949291944503784,0.23136961460113525,4887,0.0003,-9.69768238067627,-14.979867935180664
372,5952,250,0.0,-7.613237630000001,23,16.0,,,,0.3971116542816162,0.22699996829032898,4951,0.0003,-9.697198867797852,-14.469985008239746
,6000,,,,,,-6.4714822,16.0,0.0,0.46837687492370605,0.22378535568714142,4999,0.0003,-9.870506286621094,-15.027397155761719
376,6016,257,0.0,-7.520275219999999,23,16.0,,,,0.3448830842971802,0.22272396087646484,5015,0.0003,-9.94178581237793,-14.219321250915527
380,6080,259,0.0,-7.377041679999999,23,16.0,,,,0.49660664796829224,0.21852727234363556,5079,0.0003,-10.055763244628906,-14.919334411621094
384,6144,262,0.0,-7.3847853599999995,23,16.0,,,,0.4277513027191162,0.2143941968679428,5143,0.0003,-10.259254455566406,-15.88389778137207
388,6208,265,0.0,-7.382068509999999,23,16.0,,,,0.30660730600357056,0.2103482186794281,5207,0.0003,-10.377691268920898,-14.998869895935059
392,6272,267,0.0,-7.397919879999998,23,16.0,,,,0.26345765590667725,0.20637938380241394,5271,0.0003,-10.57938289642334,-15.116659164428711
396,6336,270,0.0,-7.456974679999998,23,16.0,,,,0.3328161835670471,0.2024931162595749,5335,0.0003,-10.427764892578125,-14.420194625854492
400,6400,273,0.0,-7.598217129999999,23,16.0,,,,0.2635512948036194,0.19869181513786316,5399,0.0003,-10.574173927307129,-14.751243591308594
404,6464,276,0.0,-7.566511859999999,23,16.0,,,,0.3765912652015686,0.19496271014213562,5463,0.0003,-10.712865829467773,-13.773282051086426
408,6528,279,0.0,-7.5393326300000005,23,16.0,,,,0.9630601406097412,0.1913173496723175,5527,0.0003,-10.993130683898926,-13.421652793884277
412,6592,281,0.0,-7.52289706,23,16.0,,,,0.36131757497787476,0.1877116858959198,5591,0.0003,-11.077574729919434,-14.747976303100586
416,6656,284,0.0,-7.4315805799999985,23,16.0,,,,0.5258212685585022,0.18417787551879883,5655,0.0003,-11.03145980834961,-12.233582496643066
420,6720,287,0.0,-7.458666589999999,23,16.0,,,,0.421762615442276,0.18070533871650696,5719,0.0003,-11.073516845703125,-13.091075897216797
424,6784,289,0.0,-8.216890800000002,23,16.0,,,,0.5434073209762573,0.17732441425323486,5783,0.0003,-11.324490547180176,-13.625307083129883
428,6848,292,0.0,-8.13419625,23,16.0,,,,0.7087533473968506,0.17400602996349335,5847,0.0003,-11.478915214538574,-13.374517440795898
432,6912,295,0.0,-8.149695829999999,23,16.0,,,,0.8720528483390808,0.17073282599449158,5911,0.0003,-11.756841659545898,-13.601275444030762
436,6976,297,0.0,-8.21537034,23,16.0,,,,0.5033150911331177,0.16752466559410095,5975,0.0003,-11.648386001586914,-12.582271575927734
,7000,,,,,,-7.488782499999999,16.0,0.0,0.6904104351997375,0.166342630982399,5999,0.0003,-11.827507019042969,-12.204102516174316
440,7040,304,0.0,-8.916773560000001,23,16.0,,,,0.6996248960494995,0.16439403593540192,6039,0.0003,-11.610958099365234,-12.276167869567871
444,7104,307,0.0,-8.98594697,23,16.0,,,,0.35885754227638245,0.16131898760795593,6103,0.0003,-11.904861450195312,-12.60168743133545
448,7168,309,0.0,-8.976184940000001,23,16.0,,,,0.8853251934051514,0.1583007574081421,6167,0.0003,-11.954103469848633,-11.018306732177734
452,7232,312,0.0,-8.98958563,23,16.0,,,,1.0738649368286133,0.15534920990467072,6231,0.0003,-12.086000442504883,-12.186517715454102
456,7296,315,0.0,-9.018413859999999,23,16.0,,,,0.8412560224533081,0.15246015787124634,6295,0.0003,-11.971610069274902,-11.440702438354492
460,7360,317,0.0,-9.7840968,23,16.0,,,,0.8377363085746765,0.14964769780635834,6359,0.0003,-11.825285911560059,-11.692659378051758
464,7424,320,0.0,-9.79820625,23,16.0,,,,0.8943369388580322,0.14686551690101624,6423,0.0003,-11.929661750793457,-9.597053527832031
468,7488,322,0.0,-9.7843612,23,16.0,,,,0.5129866600036621,0.14414961636066437,6487,0.0003,-12.26950740814209,-11.315666198730469
472,7552,325,0.0,-9.75638489,23,16.0,,,,0.6335200071334839,0.14150118827819824,6551,0.0003,-12.057241439819336,-10.649809837341309
476,7616,327,0.0,-9.827394889999999,23,16.0,,,,0.865371584892273,0.13888470828533173,6615,0.0003,-12.245071411132812,-10.004328727722168
480,7680,330,0.0,-9.876041410000001,23,16.0,,,,0.5841281414031982,0.13633888959884644,6679,0.0003,-12.5020751953125,-9.3380708694458
484,7744,333,0.0,-9.877261230000002,23,16.0,,,,0.8998399972915649,0.13386918604373932,6743,0.0003,-12.610573768615723,-10.116064071655273
488,7808,336,0.0,-9.91077081,23,16.0,,,,0.4371897578239441,0.1314128041267395,6807,0.0003,-12.849239349365234,-9.660951614379883
492,7872,338,0.0,-9.929130090000001,23,16.0,,,,1.1675375699996948,0.12899720668792725,6871,0.0003,-12.518054008483887,-7.152563095092773
496,7936,341,0.0,-9.90397851,23,16.0,,,,0.5391923189163208,0.12664343416690826,6935,0.0003,-13.288690567016602,-8.914159774780273
,8000,,,,,,-8.626994,16.0,0.0,0.5689471960067749,0.12431274354457855,6999,0.0003,-13.026318550109863,-8.840237617492676
500,8000,348,0.0,-9.764651240000001,22,16.0,,,,,,,,,
504,8064,350,0.0,-9.76755528,22,16.0,,,,0.5858962535858154,0.12203918397426605,7063,0.0003,-12.885634422302246,-9.612648010253906
508,8128,353,0.0,-10.00931188,22,16.0,,,,0.8744964599609375,0.11982154101133347,7127,0.0003,-13.191280364990234,-10.289414405822754
512,8192,356,0.0,-9.91610111,22,16.0,,,,0.5072880983352661,0.11762083321809769,7191,0.0003,-13.094717979431152,-9.631315231323242
516,8256,359,0.0,-9.949946709999999,22,16.0,,,,1.021730661392212,0.11543907970190048,7255,0.0003,-13.632584571838379,-8.402002334594727
520,8320,361,0.0,-9.95446331,23,16.0,,,,0.8778223991394043,0.11330222338438034,7319,0.0003,-13.627833366394043,-6.97131872177124
524,8384,364,0.0,-9.223661020000002,23,16.0,,,,0.8793134093284607,0.11120770871639252,7383,0.0003,-13.65372371673584,-7.870837688446045
528,8448,367,0.0,-9.263413540000002,23,16.0,,,,0.8289362788200378,0.10916755348443985,7447,0.0003,-13.030248641967773,-9.901742935180664
532,8512,369,0.0,-9.188414220000002,23,16.0,,,,0.5545588731765747,0.10718169063329697,7511,0.0003,-13.360800743103027,-6.723570346832275
536,8576,372,0.0,-9.12857864,23,16.0,,,,0.5631353259086609,0.10525262355804443,7575,0.0003,-13.996621131896973,-6.558017253875732
540,8640,375,0.0,-8.31651552,23,16.0,,,,0.5837472677230835,0.10334862023591995,7639,0.0003,-13.709856986999512,-6.563670635223389
544,8704,378,0.0,-8.19838818,23,16.0,,,,1.0991744995117188,0.1014731302857399,7703,0.0003,-13.857783317565918,-7.683420181274414
548,8768,380,0.0,-8.216506090000001,23,16.0,,,,1.3338782787322998,0.09964730590581894,7767,0.0003,-13.740215301513672,-8.281575202941895
552,8832,383,0.0,-8.25434206,23,16.0,,,,0.7475631237030029,0.09789542853832245,7831,0.0003,-13.498764038085938,-4.162589073181152
556,8896,386,0.0,-8.243331210000001,23,16.0,,,,1.213975429534912,0.09618566185235977,7895,0.0003,-13.656254768371582,-7.217182159423828
560,8960,388,0.0,-7.533346280000001,23,16.0,,,,0.987174928188324,0.09454173594713211,7959,0.0003,-12.037731170654297,-5.004519939422607
,9000,,,,,,-7.5784592,16.0,0.0,0.41000184416770935,0.09354840219020844,7999,0.0003,-12.507923126220703,-4.8210906982421875
564,9024,395,0.0,-7.557790799999999,22,16.0,,,,1.4548346996307373,0.09294982254505157,8023,0.0003,-12.851080894470215,-5.5759077072143555
568,9088,398,0.0,-7.59328897,22,16.0,,,,1.2126919031143188,0.09138373285531998,8087,0.0003,-12.922093391418457,-5.797006607055664
572,9152,400,0.0,-7.657233359999999,22,16.0,,,,0.9115981459617615,0.0898345410823822,8151,0.0003,-13.937978744506836,-7.1528000831604
576,9216,403,0.0,-7.54129298,22,16.0,,,,0.7463566064834595,0.08830632269382477,8215,0.0003,-12.247464179992676,-6.189731597900391
580,9280,405,0.0,-7.635647209999999,22,16.0,,,,0.8805289268493652,0.08678817003965378,8279,0.0003,-13.469895362854004,-3.4975364208221436
584,9344,408,0.0,-7.6333502399999995,22,16.0,,,,1.1095573902130127,0.08529268205165863,8343,0.0003,-13.255780220031738,-5.1634907722473145
588,9408,411,0.0,-7.67233692,22,16.0,,,,1.4771714210510254,0.08382759988307953,8407,0.0003,-12.802623748779297,-6.408374786376953
592,9472,414,0.0,-7.624717629999999,22,16.0,,,,0.5940914750099182,0.08236820250749588,8471,0.0003,-14.249351501464844,-7.625900745391846
596,9536,416,0.0,-7.603787120000001,22,16.0,,,,1.070643663406372,0.08092477172613144,8535,0.0003,-13.46728515625,-5.850842475891113
600,9600,419,0.0,-7.65772423,22,16.0,,,,1.217695951461792,0.07951647788286209,8599,0.0003,-13.611381530761719,-5.441155433654785
604,9664,421,0.0,-7.80130737,22,16.0,,,,2.0931363105773926,0.07809652388095856,8663,0.0003,-13.106410026550293,-5.820101261138916
608,9728,424,0.0,-7.543956779999999,22,16.0,,,,1.161728858947754,0.07674010097980499,8727,0.0003,-13.476128578186035,-3.4594483375549316
612,9792,427,0.0,-7.58676439,22,16.0,,,,1.4150924682617188,0.07537280023097992,8791,0.0003,-14.177627563476562,-2.4446730613708496
616,9856,429,0.0,-7.78922781,22,16.0,,,,1.5326937437057495,0.07403513789176941,8855,0.0003,-13.49445629119873,-3.559751033782959
620,9920,432,0.0,-7.77018877,22,16.0,,,,1.7175334692001343,0.07271436601877213,8919,0.0003,-13.414846420288086,-4.026845932006836
624,9984,434,0.0,-7.789489659999998,22,16.0,,,,0.9612159729003906,0.071430504322052,8983,0.0003,-14.053828239440918,-4.930052280426025
,10000,,,,,,-8.921796800000001,16.0,0.0,1.0097150802612305,0.07111132144927979,8999,0.0003,-13.255041122436523,-2.069071054458618
