rollout/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,4,20.0,85,80,0,0.15998299999999976,,,,,,,,
0.0,8,20.0,89,160,1,2.784059625,,,,,,,,
0.0,12,20.0,93,240,2,-0.60054725,,,,,,,,
0.0,16,20.0,96,320,3,-1.95934475,,,,,,,,
0.0,20,20.0,97,400,4,-2.81494325,,,,,,,,
0.041666666666666664,24,19.208333333333332,95,461,4,6.356781875,,,,,,,,
0.03571428571428571,28,19.321428571428573,95,541,5,4.970795964285714,,,,,,,,
0.03125,32,19.40625,95,621,6,3.706589000000001,,,,,,,,
0.027777777777777776,36,19.47222222222222,95,701,7,2.5601821944444456,,,,,,,,
0.025,40,19.525,95,781,8,1.6299157000000004,,,,,,,,
0.022727272727272728,44,19.568181818181817,95,861,8,1.2716013863636368,,,,,,,,
0.020833333333333332,48,19.604166666666668,94,941,9,1.3368837499999995,,,,,,,,
0.038461538461538464,52,19.326923076923077,91,1005,11,5.601199903846153,0.009999999776482582,8,0.4608495533466339,0.11775841191411018,0.0003,,,
0.05357142857142857,56,19.053571428571427,82,1067,12,9.295367803571429,0.009999999776482582,132,83.41481536626816,-4.7139739990234375,0.0003,,,
0.1,60,18.233333333333334,79,1094,13,19.258849950000002,0.009999999776482582,186,157.80364274978638,-7.450297594070435,0.0003,,,
0.140625,64,17.515625,76,1121,14,28.097079609375,0.009999999776482582,240,147.31916046142578,-14.570556640625,0.0003,,,
0.19117647058823528,68,16.63235294117647,74,1131,15,39.31100611764706,0.009999999776482582,260,341.30120849609375,-16.797773361206055,0.0003,,,
0.2222222222222222,72,16.069444444444443,72,1157,16,45.89677129166667,0.009999999776482582,312,210.56907653808594,-28.44479465484619,0.0003,,,
0.2236842105263158,76,16.039473684210527,68,1219,17,45.95002077631579,0.009999999776482582,436,138.9275665283203,-37.30190849304199,0.0003,,,
0.225,80,16.0125,65,1281,19,45.948823412500005,0.009999999776482582,560,175.54218292236328,-47.346187591552734,0.0003,,,
0.25,84,15.547619047619047,64,1306,20,51.21562351190476,0.009999999776482582,610,177.24048614501953,-47.4726505279541,0.0003,,,
0.25,88,15.556818181818182,61,1369,22,51.08928335227272,0.009999999776482582,736,382.7188720703125,-56.99286651611328,0.0003,,,
0.2826086956521739,92,14.98913043478261,60,1379,22,58.34550416304347,0.009999999776482582,756,392.7583923339844,-57.2492733001709,0.0003,,,
0.3020833333333333,96,14.635416666666666,59,1405,23,62.53554117708334,0.009999999776482582,808,465.29486083984375,-65.83860778808594,0.0003,,,
0.32,100,14.3,58,1430,24,66.41140411,0.009999999776482582,858,471.31280517578125,-69.14490509033203,0.0003,,,
0.36,104,13.59,57,1439,25,75.12975175000001,0.009999999776482582,876,580.3798217773438,-74.8916130065918,0.0003,,,
0.39,108,13.07,56,1467,26,81.42752435,0.009999999776482582,932,460.5635986328125,-78.91752624511719,0.0003,,,
0.42,112,12.54,55,1494,26,88.15392321000002,0.009999999776482582,986,829.470703125,-89.52514266967773,0.0003,,,
0.46,116,11.91,54,1511,27,97.03527730999998,0.009999999776482582,1020,622.3856201171875,-96.01144027709961,0.0003,,,
0.48,120,11.55,53,1555,29,101.46453927999997,0.009999999776482582,1108,808.0508117675781,-108.17604064941406,0.0003,,,
0.51,124,11.03,52,1564,29,108.04391377000002,0.009999999776482582,1126,798.7570190429688,-108.43043518066406,0.0003,,,
0.54,128,10.51,52,1592,30,114.69603636999999,0.009999999776482582,1182,488.4640655517578,-113.77561950683594,0.0003,,,
0.56,132,10.16,51,1637,32,119.05852374000001,0.009999999776482582,1272,535.4966125488281,-120.50344848632812,0.0003,,,
0.6,136,9.47,50,1648,32,128.07890375000002,0.009999999776482582,1294,626.9701538085938,-126.01607131958008,0.0003,,,
0.61,140,9.29,49,1710,34,130.20475,0.009999999776482582,1418,402.5338134765625,-134.7436981201172,0.0003,,,
0.64,144,8.76,48,1737,35,136.74017987,0.009999999776482582,1472,445.9944763183594,-134.7735595703125,0.0003,,,
0.66,148,8.53,47,1794,37,142.31445814,0.009999999776482582,1586,411.3805236816406,-147.60662078857422,0.0003,,,
0.66,152,8.54,46,1859,39,143.02331518,0.009999999776482582,1716,303.5354309082031,-161.5410919189453,0.0003,,,
0.65,156,8.72,45,1939,42,142.51321695000001,0.009999999776482582,1876,275.6734619140625,-171.84648895263672,0.0003,,,
0.62,160,9.25,39,2019,50,137.76331295,0.009999999776482582,2036,186.0890884399414,-189.34691619873047,0.0003,33.22954010461808,0.0,20.0
0.59,164,9.78,39,2099,53,132.37844463000002,0.009999999776482582,2196,165.4710464477539,-192.21306610107422,0.0003,,,
0.56,168,10.43,38,2174,56,127.20733442,0.009999999776482582,2346,106.0145034790039,-198.67017364501953,0.0003,,,
0.53,172,10.97,38,2254,58,123.240556,0.009999999776482582,2506,88.0751953125,-206.25269317626953,0.0003,,,
0.52,176,11.15,37,2334,61,123.46906787,0.009999999776482582,2666,67.29184913635254,-215.13655853271484,0.0003,,,
0.52,180,11.24,37,2405,64,125.44812104,0.009999999776482582,2808,60.685800552368164,-223.50363159179688,0.0003,,,
0.49,184,11.79,37,2485,67,121.42697515,0.009999999776482582,2968,42.12939643859863,-226.7093505859375,0.0003,,,
0.49,188,11.93,36,2562,69,123.57879469,0.009999999776482582,3122,77.71630477905273,-231.1412353515625,0.0003,,,
0.45,192,12.63,36,2642,72,116.01734175000001,0.009999999776482582,3282,55.41133117675781,-236.6209716796875,0.0003,,,
0.42,196,13.17,36,2722,75,110.30154418999999,0.009999999776482582,3442,61.2407341003418,-240.36293029785156,0.0003,,,
0.39,200,13.72,35,2802,78,105.66177606000001,0.009999999776482582,3602,57.67893409729004,-245.3556365966797,0.0003,,,
0.35,204,14.43,35,2882,80,98.29038151,0.009999999776482582,3762,62.14205551147461,-253.2676773071289,0.0003,,,
0.32,208,14.95,35,2962,83,93.14225628000003,0.009999999776482582,3922,58.026363372802734,-255.55555725097656,0.0003,,,
0.29,212,15.48,35,3042,86,88.48738364,0.009999999776482582,4082,40.837059020996094,-255.09486389160156,0.0003,,,
0.26,216,16.08,34,3119,89,83.62734875,0.009999999776482582,4236,66.23533248901367,-257.9415740966797,0.0003,,,
0.24,220,16.44,34,3199,92,81.40137358,0.009999999776482582,4396,27.516976356506348,-260.35504150390625,0.0003,,,
0.2,224,17.15,34,3279,94,74.05343839,0.009999999776482582,4556,36.289669036865234,-262.93421936035156,0.0003,,,
0.17,228,17.67,34,3359,97,69.10134632999998,0.009999999776482582,4716,32.87041759490967,-263.36549377441406,0.0003,,,
0.15,232,18.02,34,3439,100,66.23162548999998,0.009999999776482582,4876,50.82283973693848,-265.2388000488281,0.0003,,,
0.11,236,18.71,34,3519,103,59.075688369999995,0.009999999776482582,5036,32.09306335449219,-265.3300018310547,0.0003,,,
0.1,240,18.89,34,3599,105,58.54827465,0.009999999776482582,5196,57.88497543334961,-265.33544921875,0.0003,,,
0.07,244,19.42,33,3679,108,54.130171100000005,0.009999999776482582,5356,49.17653846740723,-268.6612243652344,0.0003,,,
0.05,248,19.65,33,3759,111,50.30718588,0.009999999776482582,5516,46.578514099121094,-266.2975311279297,0.0003,,,
0.04,252,19.8,33,3839,113,49.52901760999999,0.009999999776482582,5676,63.15753364562988,-268.2615966796875,0.0003,,,
0.04,256,19.8,33,3919,116,49.60281494,0.009999999776482582,5836,28.617467880249023,-268.58551025390625,0.0003,,,
0.04,260,19.8,33,3999,119,50.04728273,0.009999999776482582,5996,22.693321228027344,-267.3037414550781,0.0003,,,
0.04,264,19.8,31,4079,128,51.202256919999996,0.009999999776482582,6156,47.91880989074707,-270.06280517578125,0.0003,43.71084687586326,0.0,20.0
0.03,268,19.85,31,4159,131,48.97105624000001,0.009999999776482582,6316,35.51441955566406,-268.96417236328125,0.0003,,,
0.03,272,19.85,31,4239,133,47.97998205999998,0.009999999776482582,6476,31.350019454956055,-269.7963562011719,0.0003,,,
0.03,276,19.85,31,4319,136,47.01546393999999,0.009999999776482582,6636,20.46098232269287,-269.13323974609375,0.0003,,,
0.02,280,19.94,31,4399,139,45.54862223999999,0.009999999776482582,6796,32.89875411987305,-268.0809020996094,0.0003,,,
0.02,284,19.94,31,4479,142,45.43835202,0.009999999776482582,6956,22.708646774291992,-267.9750518798828,0.0003,,,
0.01,288,19.97,31,4559,145,43.20126949,0.009999999776482582,7116,22.940068244934082,-267.50062561035156,0.0003,,,
0.01,292,19.97,31,4639,147,43.9750913,0.009999999776482582,7276,24.550743103027344,-267.2436065673828,0.0003,,,
0.01,296,19.97,31,4719,150,45.403469810000004,0.009999999776482582,7436,23.790915489196777,-267.87953186035156,0.0003,,,
0.01,300,19.97,31,4799,152,45.75957311,0.009999999776482582,7596,31.878084182739258,-265.52294921875,0.0003,,,
0.02,304,19.95,31,4877,155,48.245657820000005,0.009999999776482582,7752,44.6832971572876,-265.93772888183594,0.0003,,,
0.03,308,19.93,31,4955,158,50.31748296,0.009999999776482582,7908,18.79972553253174,-265.847412109375,0.0003,,,
0.03,312,19.93,31,5035,160,50.355864849999996,0.009999999776482582,8068,24.991697311401367,-264.27867126464844,0.0003,,,
0.02,316,19.96,31,5115,163,48.598227650000005,0.009999999776482582,8228,30.12932586669922,-263.7890319824219,0.0003,,,
0.03,320,19.89,31,5188,165,50.19836232000001,0.009999999776482582,8374,38.9964485168457,-263.7204895019531,0.0003,,,
0.03,324,19.89,31,5268,168,50.47830672,0.009999999776482582,8534,37.478267669677734,-263.1815948486328,0.0003,,,
0.04,328,19.84,31,5343,171,52.976852720000004,0.009999999776482582,8684,15.473971843719482,-264.5885467529297,0.0003,,,
0.04,332,19.84,31,5423,173,54.016890970000006,0.009999999776482582,8844,31.390352249145508,-263.55755615234375,0.0003,,,
0.05,336,19.72,31,5491,175,56.49133876,0.009999999776482582,8980,36.74362087249756,-267.3689880371094,0.0003,,,
0.06,340,19.6,31,5559,177,59.322884869999996,0.009999999776482582,9116,14.980717658996582,-264.8478698730469,0.0003,,,
0.06,344,19.6,31,5639,180,59.709627420000004,0.009999999776482582,9276,38.5053825378418,-267.6211700439453,0.0003,,,
0.06,348,19.6,31,5719,182,59.89092761,0.009999999776482582,9436,15.346047401428223,-266.2048645019531,0.0003,,,
0.06,352,19.6,31,5799,185,59.578167979999996,0.009999999776482582,9596,28.116533279418945,-267.4281463623047,0.0003,,,
0.06,356,19.6,31,5879,188,60.13723875999999,0.009999999776482582,9756,15.400076866149902,-268.0398406982422,0.0003,,,
0.06,360,19.6,31,5959,190,59.73388803000001,0.009999999776482582,9916,10.89680528640747,-267.0513153076172,0.0003,,,
0.06,364,19.6,30,6039,198,61.26679003,0.009999999776482582,10076,14.433868408203125,-268.6566925048828,0.0003,58.40405676166902,0.0,20.0
0.06,368,19.6,30,6119,201,62.24573864999999,0.009999999776482582,10236,18.124116897583008,-269.3379669189453,0.0003,,,
0.06,372,19.6,30,6199,203,63.74977585,0.009999999776482582,10396,18.903528213500977,-269.2470245361328,0.0003,,,
0.06,376,19.6,30,6279,206,65.40264361,0.009999999776482582,10556,20.212556838989258,-270.4608459472656,0.0003,,,
0.06,380,19.6,30,6359,208,65.59752277000001,0.009999999776482582,10716,23.374049186706543,-271.22654724121094,0.0003,,,
0.06,384,19.6,30,6439,211,66.06888296,0.009999999776482582,10876,26.17421531677246,-272.6951141357422,0.0003,,,
0.06,388,19.6,30,6519,213,66.41172517999999,0.009999999776482582,11036,30.435195922851562,-274.28468322753906,0.0003,,,
0.07,392,19.6,30,6599,216,69.11012861,0.009999999776482582,11196,42.63657569885254,-272.59291076660156,0.0003,,,
0.07,396,19.6,30,6679,218,69.74808745,0.009999999776482582,11356,30.621292114257812,-272.9294891357422,0.0003,,,
0.07,400,19.6,30,6759,221,70.58982005999998,0.009999999776482582,11516,19.194252967834473,-273.90867614746094,0.0003,,,
0.06,404,19.62,30,6839,224,69.29284497999998,0.009999999776482582,11676,56.01873207092285,-274.1831512451172,0.0003,,,
0.05,408,19.64,30,6919,226,68.10198758,0.009999999776482582,11836,13.127416610717773,-275.993408203125,0.0003,,,
0.05,412,19.64,30,6999,229,67.97945661,0.009999999776482582,11996,28.596099853515625,-278.4364318847656,0.0003,,,
0.05,416,19.64,30,7079,232,67.51685380999999,0.009999999776482582,12156,32.926767349243164,-276.76222229003906,0.0003,,,
0.04,420,19.71,30,7159,235,65.55271517000001,0.009999999776482582,12316,29.343174934387207,-277.91600036621094,0.0003,,,
0.04,424,19.71,30,7239,237,65.43469035,0.009999999776482582,12476,25.993192672729492,-278.94776916503906,0.0003,,,
0.03,428,19.76,30,7319,240,62.47174975,0.009999999776482582,12636,16.62114715576172,-276.5705261230469,0.0003,,,
0.03,432,19.76,30,7399,243,61.95182740000001,0.009999999776482582,12796,47.551005363464355,-278.1276550292969,0.0003,,,
0.02,436,19.88,30,7479,246,59.45786138,0.009999999776482582,12956,48.424238204956055,-278.87635803222656,0.0003,,,
0.01,440,20.0,30,7559,249,56.80800963000001,0.009999999776482582,13116,18.09928297996521,-277.4595031738281,0.0003,,,
0.01,444,20.0,30,7639,251,55.924010259999996,0.009999999776482582,13276,11.85091781616211,-278.8876190185547,0.0003,,,
0.01,448,20.0,30,7719,254,55.22802855,0.009999999776482582,13436,29.994466304779053,-281.585693359375,0.0003,,,
0.01,452,20.0,30,7799,257,54.78180124000001,0.009999999776482582,13596,18.443716049194336,-279.900390625,0.0003,,,
0.01,456,20.0,30,7879,259,53.99786550999999,0.009999999776482582,13756,22.365822792053223,-282.0701599121094,0.0003,,,
0.01,460,20.0,30,7959,262,55.20716672999999,0.009999999776482582,13916,15.312150955200195,-282.0134735107422,0.0003,,,
0.01,464,20.0,29,8039,271,53.21377251999999,0.009999999776482582,14076,23.828511238098145,-283.8550567626953,0.0003,57.32517418369116,0.0,20.0
0.01,468,20.0,29,8119,274,53.2492739,0.009999999776482582,14236,20.57841205596924,-282.5959014892578,0.0003,,,
0.01,472,20.0,29,8199,276,53.33371737999999,0.009999999776482582,14396,33.7321662902832,-285.07684326171875,0.0003,,,
0.01,476,20.0,29,8279,279,52.390398720000015,0.009999999776482582,14556,20.747882843017578,-286.0212860107422,0.0003,,,
0.01,480,20.0,29,8359,282,51.97582431,0.009999999776482582,14716,24.67982292175293,-286.767822265625,0.0003,,,
0.01,484,20.0,29,8439,284,51.82897075000001,0.009999999776482582,14876,35.069886207580566,-287.39500427246094,0.0003,,,
0.01,488,20.0,29,8519,287,53.31713092,0.009999999776482582,15036,28.152938842773438,-289.6599426269531,0.0003,,,
0.0,492,20.0,29,8599,289,51.59136919999999,0.009999999776482582,15196,39.423179626464844,-289.85594177246094,0.0003,,,
0.0,496,20.0,29,8679,292,50.937110929999996,0.009999999776482582,15356,16.008681297302246,-293.16224670410156,0.0003,,,
0.0,500,20.0,29,8759,295,50.467324940000005,0.009999999776482582,15516,25.083209991455078,-293.44639587402344,0.0003,,,
0.0,504,20.0,29,8839,298,50.91846555,0.009999999776482582,15676,15.347618103027344,-293.1648254394531,0.0003,,,
0.0,508,20.0,29,8919,300,51.11408613,0.009999999776482582,15836,28.597152709960938,-295.3232727050781,0.0003,,,
0.0,512,20.0,29,8999,303,52.63332160000001,0.009999999776482582,15996,17.31978416442871,-296.8834991455078,0.0003,,,
0.0,516,20.0,29,9079,306,53.80432387999999,0.009999999776482582,16156,29.83052635192871,-295.8110809326172,0.0003,,,
0.0,520,20.0,29,9159,309,53.83918224000001,0.009999999776482582,16316,22.36020588874817,-299.5082550048828,0.0003,,,
0.0,524,20.0,29,9239,311,55.299610359999996,0.009999999776482582,16476,28.82551383972168,-301.14263916015625,0.0003,,,
0.0,528,20.0,29,9319,314,57.375573580000015,0.009999999776482582,16636,19.98232936859131,-304.11048889160156,0.0003,,,
0.0,532,20.0,29,9399,317,57.4882378,0.009999999776482582,16796,19.586554050445557,-303.8239440917969,0.0003,,,
0.0,536,20.0,29,9479,319,58.22135141999999,0.009999999776482582,16956,29.46353530883789,-302.9971618652344,0.0003,,,
0.0,540,20.0,29,9559,322,58.97001647,0.009999999776482582,17116,29.24842643737793,-305.8840026855469,0.0003,,,
0.0,544,20.0,29,9639,325,59.83226185,0.009999999776482582,17276,14.239659309387207,-307.6278839111328,0.0003,,,
0.0,548,20.0,29,9719,327,61.868252000000005,0.009999999776482582,17436,34.26749038696289,-307.2333221435547,0.0003,,,
0.0,552,20.0,29,9799,330,63.73148308999999,0.009999999776482582,17596,30.51123857498169,-309.32196044921875,0.0003,,,
0.0,556,20.0,29,9879,332,64.40029813,0.009999999776482582,17756,9.443177223205566,-310.5982971191406,0.0003,,,
0.0,560,20.0,29,9959,335,64.23460558,0.009999999776482582,17916,24.75550651550293,-310.9620819091797,0.0003,,,
0.0,564,20.0,29,10039,344,64.83366655,0.009999999776482582,18076,34.48625469207764,-313.2298583984375,0.0003,57.25784266989613,0.0,20.0
0.0,568,20.0,29,10119,346,64.3627304,0.009999999776482582,18236,24.797972202301025,-313.9436798095703,0.0003,,,
0.0,572,20.0,29,10199,349,63.768459459999995,0.009999999776482582,18396,41.821228981018066,-314.531494140625,0.0003,,,
0.0,576,20.0,29,10279,351,64.72241673000002,0.009999999776482582,18556,32.11204528808594,-314.6697235107422,0.0003,,,
0.0,580,20.0,29,10359,354,64.49408955999999,0.009999999776482582,18716,28.31085205078125,-318.16270446777344,0.0003,,,
0.0,584,20.0,29,10439,357,64.37468423,0.009999999776482582,18876,8.941925048828125,-319.3642120361328,0.0003,,,
0.0,588,20.0,29,10519,359,62.698159970000006,0.009999999776482582,19036,15.167009830474854,-321.0110168457031,0.0003,,,
0.0,592,20.0,29,10599,362,63.6806529,0.009999999776482582,19196,13.738402366638184,-321.50929260253906,0.0003,,,
0.0,596,20.0,29,10679,365,64.39280863,0.009999999776482582,19356,65.0543441772461,-323.8909912109375,0.0003,,,
0.0,600,20.0,29,10759,367,65.10875361,0.009999999776482582,19516,21.531328201293945,-325.9942169189453,0.0003,,,
0.0,604,20.0,29,10839,370,63.98720984,0.009999999776482582,19676,35.02532386779785,-324.8643493652344,0.0003,,,
0.0,608,20.0,29,10919,373,64.13699211,0.009999999776482582,19836,11.358386993408203,-323.3541717529297,0.0003,,,
0.0,612,20.0,29,10999,375,63.667178459999995,0.009999999776482582,19996,10.322977066040039,-324.5863800048828,0.0003,,,
0.0,616,20.0,29,11079,378,62.875641110000004,0.009999999776482582,20156,29.351964950561523,-326.3983154296875,0.0003,,,
0.0,620,20.0,29,11159,381,64.38437213,0.009999999776482582,20316,25.582056999206543,-329.0011901855469,0.0003,,,
0.0,624,20.0,29,11239,383,64.53593118,0.009999999776482582,20476,16.669462203979492,-332.29396057128906,0.0003,,,
0.0,628,20.0,29,11319,386,64.14524391,0.009999999776482582,20636,24.444400787353516,-330.10252380371094,0.0003,,,
0.0,632,20.0,29,11399,388,64.85104264,0.009999999776482582,20796,59.23999786376953,-331.8934020996094,0.0003,,,
0.0,636,20.0,29,11479,391,64.91961595000001,0.009999999776482582,20956,19.163156509399414,-332.809814453125,0.0003,,,
0.0,640,20.0,29,11559,394,64.58013197,0.009999999776482582,21116,30.455260276794434,-334.27699279785156,0.0003,,,
0.0,644,20.0,29,11639,396,65.55411079000001,0.009999999776482582,21276,56.47710037231445,-333.8439636230469,0.0003,,,
0.0,648,20.0,29,11719,399,65.5325381,0.009999999776482582,21436,7.111651659011841,-335.4324645996094,0.0003,,,
0.0,652,20.0,29,11799,402,65.55399813,0.009999999776482582,21596,10.20917534828186,-338.3032989501953,0.0003,,,
0.0,656,20.0,29,11879,404,64.97431501000001,0.009999999776482582,21756,34.91541337966919,-338.1841735839844,0.0003,,,
0.0,660,20.0,29,11959,407,65.14174631,0.009999999776482582,21916,24.825591564178467,-339.69395446777344,0.0003,,,
0.0,664,20.0,28,12039,415,63.61487499,0.009999999776482582,22076,84.80633544921875,-338.76513671875,0.0003,59.22688296053595,0.0,20.0
