train/critic_loss,time/fps,rollout/ep_rew_mean,train/learning_rate,time/episodes,rollout/ep_len_mean,rollout/success_rate,train/n_updates,train/ent_coef,train/actor_loss,time/total_timesteps,time/time_elapsed,eval/success_rate,eval/mean_ep_length,eval/mean_reward
2.0378241539001465,43,3.5791675,0.0003,4,4.0,0.0,1015,0.009999999776482582,-83.63998413085938,16,0,,,
1.659803867340088,47,3.9318468749999997,0.0003,8,4.0,0.0,1031,0.009999999776482582,-84.61459350585938,32,0,,,
103.53851318359375,47,4.064582416666666,0.0003,12,4.0,0.0,1047,0.009999999776482582,-83.75027465820312,48,1,,,
101.97276306152344,47,4.210910500000001,0.0003,16,4.0,0.0,1063,0.009999999776482582,-81.54866027832031,64,1,,,
4.885164260864258,48,4.21440185,0.0003,20,4.0,0.0,1079,0.009999999776482582,-79.20394134521484,80,1,,,
6.6996355056762695,50,4.155916708333334,0.0003,24,4.0,0.0,1095,0.009999999776482582,-77.33441925048828,96,1,,,
6.219051361083984,50,4.174696071428572,0.0003,28,4.0,0.0,1111,0.009999999776482582,-78.93128967285156,112,2,,,
8.960577011108398,49,4.207679,0.0003,32,4.0,0.0,1127,0.009999999776482582,-78.40919494628906,128,2,,,
10.79747200012207,50,4.2947034166666676,0.0003,36,4.0,0.0,1143,0.009999999776482582,-78.06938934326172,144,2,,,
17.684850692749023,50,4.321497725,0.0003,40,4.0,0.0,1159,0.009999999776482582,-76.96385192871094,160,3,,,
11.598186492919922,49,4.2680625,0.0003,44,4.0,0.0,1175,0.009999999776482582,-77.06991577148438,176,3,,,
13.914270401000977,49,4.2211353125,0.0003,48,4.0,0.0,1191,0.009999999776482582,-78.51534271240234,192,3,,,
63.8402099609375,49,4.198206711538462,0.0003,52,4.0,0.0,1207,0.009999999776482582,-76.05389404296875,208,4,,,
8.589661598205566,49,4.117434285714286,0.0003,56,4.0,0.0,1223,0.009999999776482582,-75.99576568603516,224,4,,,
62.99071502685547,49,4.04877175,0.0003,60,4.0,0.0,1239,0.009999999776482582,-74.91957092285156,240,4,,,
23.102758407592773,49,4.010589749999999,0.0003,64,4.0,0.0,1255,0.009999999776482582,-74.01844787597656,256,5,,,
17.07353973388672,49,3.9406878676470587,0.0003,68,4.0,0.0,1271,0.009999999776482582,-77.06057739257812,272,5,,,
172.85067749023438,49,3.930495041666667,0.0003,72,4.0,0.0,1287,0.009999999776482582,-76.45054626464844,288,5,,,
62.957950592041016,50,3.875520802631579,0.0003,76,4.0,0.0,1303,0.009999999776482582,-75.4240951538086,304,6,,,
10.70383071899414,50,3.8383735999999997,0.0003,80,4.0,0.0,1319,0.009999999776482582,-77.97999572753906,320,6,,,
155.09173583984375,50,3.808260642857142,0.0003,84,4.0,0.0,1335,0.009999999776482582,-74.64068603515625,336,6,,,
14.332521438598633,50,3.804099431818182,0.0003,88,4.0,0.0,1351,0.009999999776482582,-74.39466094970703,352,6,,,
17.98899269104004,51,3.782372565217392,0.0003,92,4.0,0.0,1367,0.009999999776482582,-72.51791381835938,368,7,,,
84.04421997070312,51,3.7485826250000005,0.0003,96,4.0,0.0,1383,0.009999999776482582,-71.59425354003906,384,7,,,
16.168392181396484,51,3.742472920000001,0.0003,100,4.0,0.0,1399,0.009999999776482582,-73.92843627929688,400,7,,,
56.13463592529297,51,3.7381948,0.0003,104,4.0,0.0,1415,0.009999999776482582,-72.3226318359375,416,8,,,
36.388816833496094,51,3.73576322,0.0003,108,4.0,0.0,1431,0.009999999776482582,-75.06494140625,432,8,,,
58.3074951171875,51,3.7296395200000005,0.0003,112,4.0,0.0,1447,0.009999999776482582,-72.92062377929688,448,8,,,
33.2418212890625,51,3.7137133799999997,0.0003,116,4.0,0.0,1463,0.009999999776482582,-72.31304931640625,464,8,,,
84.01154327392578,52,3.705248750000001,0.0003,120,4.0,0.0,1479,0.009999999776482582,-69.45350646972656,480,9,,,
63.228389739990234,52,3.701219889999999,0.0003,124,4.0,0.0,1495,0.009999999776482582,-68.4433822631836,496,9,,,
24.323820114135742,52,3.68947822,0.0003,128,4.0,0.0,1511,0.009999999776482582,-68.8470458984375,512,9,,,
72.09049987792969,52,3.6394956499999993,0.0003,132,4.0,0.0,1527,0.009999999776482582,-71.49942779541016,528,10,,,
17.353103637695312,52,3.642838,0.0003,136,4.0,0.0,1543,0.009999999776482582,-70.92937469482422,544,10,,,
64.33426666259766,52,3.6388074600000007,0.0003,140,4.0,0.0,1559,0.009999999776482582,-66.95173645019531,560,10,,,
51.793739318847656,52,3.6378996800000003,0.0003,144,4.0,0.0,1575,0.009999999776482582,-68.43578338623047,576,10,,,
64.04969787597656,52,3.65588637,0.0003,148,4.0,0.0,1591,0.009999999776482582,-65.36470031738281,592,11,,,
73.2554931640625,52,3.6457143100000002,0.0003,152,4.01,0.0,1608,0.009999999776482582,-65.6366958618164,609,11,,,
50.63270568847656,52,3.659718630000001,0.0003,156,4.02,0.0,1625,0.009999999776482582,-66.42103576660156,626,11,,,
118.10719299316406,52,3.73129646,0.0003,160,4.02,0.0,1641,0.009999999776482582,-63.745079040527344,642,12,,,
65.48444366455078,52,3.7244920299999995,0.0003,164,4.04,0.0,1659,0.009999999776482582,-65.24994659423828,660,12,,,
23.36333465576172,52,3.63859395,0.0003,168,4.18,0.0,1689,0.009999999776482582,-63.50642395019531,690,13,,,
30.467689514160156,53,2.4913459000000002,0.0003,172,4.74,0.0,1761,0.009999999776482582,-65.30325317382812,762,14,,,
32.263824462890625,54,0.3690470700000001,0.0003,176,5.86,0.0,1889,0.009999999776482582,-60.61363983154297,890,16,,,
97.11506652832031,40,-1.85530145,0.0003,180,6.98,0.0,2017,0.009999999776482582,-60.75584411621094,1018,25,0.0,32.0,-50.978168693706365
15.102045059204102,42,-3.9123229000000004,0.0003,184,8.1,0.0,2145,0.009999999776482582,-61.32142639160156,1146,27,,,
12.21102523803711,43,-5.77755139,0.0003,188,9.22,0.0,2273,0.009999999776482582,-59.86301040649414,1274,29,,,
12.15703010559082,44,-7.62145618,0.0003,192,10.34,0.0,2401,0.009999999776482582,-59.60224151611328,1402,31,,,
27.93634796142578,45,-9.5061302,0.0003,196,11.46,0.0,2529,0.009999999776482582,-56.81787109375,1530,33,,,
28.601648330688477,46,-11.304798100000003,0.0003,200,12.58,0.0,2657,0.009999999776482582,-56.8514518737793,1658,35,,,
26.580860137939453,47,-13.19298427,0.0003,204,13.7,0.0,2785,0.009999999776482582,-54.856937408447266,1786,37,,,
9.271688461303711,48,-15.156029919999998,0.0003,208,14.82,0.0,2913,0.009999999776482582,-55.93488693237305,1914,39,,,
15.134702682495117,41,-16.512769900000002,0.0003,212,15.84,0.0,3031,0.009999999776482582,-53.72599792480469,2032,48,0.05,32.1,-38.48954863626472
17.40570831298828,41,-16.68507551,0.0003,216,16.3,0.0,3093,0.009999999776482582,-59.46691131591797,2094,49,,,
37.64299774169922,42,-17.00272519,0.0003,220,16.8,0.0,3159,0.009999999776482582,-61.09690475463867,2160,50,,,
34.759117126464844,42,-17.32302247,0.0003,224,17.3,0.0,3225,0.009999999776482582,-62.23887252807617,2226,52,,,
34.69161605834961,43,-17.601551179999998,0.0003,228,17.8,0.0,3291,0.009999999776482582,-62.556358337402344,2292,53,,,
23.291776657104492,43,-17.80649437,0.0003,232,18.28,0.0,3355,0.009999999776482582,-61.464874267578125,2356,54,,,
33.48030090332031,43,-18.14987107,0.0003,236,18.8,0.0,3423,0.009999999776482582,-60.510292053222656,2424,55,,,
78.4249267578125,44,-18.42210259,0.0003,240,19.34,0.0,3493,0.009999999776482582,-60.372249603271484,2494,56,,,
31.066864013671875,44,-18.667348170000004,0.0003,244,20.01,0.0,3576,0.009999999776482582,-60.1548957824707,2577,57,,,
15.624889373779297,44,-18.921381280000002,0.0003,248,20.52,0.0,3643,0.009999999776482582,-59.5159912109375,2644,58,,,
8.257661819458008,45,-17.43775106,0.0003,252,21.13,0.03,3721,0.009999999776482582,-61.42268371582031,2722,60,,,
23.032596588134766,45,-17.561832280000004,0.0003,256,21.68,0.03,3793,0.009999999776482582,-61.412261962890625,2794,61,,,
70.09323120117188,46,-17.871759020000002,0.0003,260,22.25,0.03,3866,0.009999999776482582,-62.022621154785156,2867,62,,,
77.98725891113281,46,-17.46840172,0.0003,264,22.87,0.04,3946,0.009999999776482582,-55.089256286621094,2947,63,,,
20.562393188476562,43,-17.671028670000002,0.0003,268,23.39,0.04,4028,0.009999999776482582,-61.01328659057617,3029,69,0.25,19.55,11.872896085041784
17.70742416381836,44,-14.83820704,0.0003,272,23.5,0.07,4111,0.009999999776482582,-59.36255645751953,3112,70,,,
106.77252197265625,44,-12.335754750000001,0.0003,276,23.01,0.08,4190,0.009999999776482582,-58.62089157104492,3191,71,,,
23.755279541015625,44,-8.20062551,0.0003,280,22.77,0.11,4294,0.009999999776482582,-58.908470153808594,3295,73,,,
73.00749206542969,45,-5.534791019999999,0.0003,284,22.37,0.12,4382,0.009999999776482582,-55.43177032470703,3383,74,,,
36.448158264160156,45,-4.24063665,0.0003,288,21.98,0.12,4471,0.009999999776482582,-56.09463119506836,3472,76,,,
45.580833435058594,45,-1.795879519999999,0.0003,292,21.56,0.13,4557,0.009999999776482582,-59.14478302001953,3558,77,,,
53.563072204589844,46,-0.6504217400000002,0.0003,296,21.15,0.13,4644,0.009999999776482582,-57.4586181640625,3645,79,,,
47.1607780456543,46,1.6550814799999995,0.0003,300,20.76,0.14,4733,0.009999999776482582,-55.96687698364258,3734,80,,,
86.0663833618164,46,2.8367789,0.0003,304,20.43,0.14,4828,0.009999999776482582,-56.808780670166016,3829,82,,,
16.968997955322266,46,4.76695155,0.0003,308,20.03,0.15,4916,0.009999999776482582,-55.981353759765625,3917,83,,,
11.307477951049805,44,5.60317739,0.0003,312,19.69,0.15,5000,0.009999999776482582,-55.24620819091797,4001,90,0.1,23.8,-14.713928662827485
22.238941192626953,44,5.38763262,0.0003,316,20.17,0.16,5110,0.009999999776482582,-56.47679138183594,4111,92,,,
17.526874542236328,44,5.724979909999999,0.0003,320,20.54,0.17,5213,0.009999999776482582,-55.42430114746094,4214,94,,,
9.098221778869629,44,7.498011690000001,0.0003,324,20.89,0.2,5314,0.009999999776482582,-54.86346435546875,4315,95,,,
22.870098114013672,45,6.659441009999999,0.0003,328,21.34,0.2,5425,0.009999999776482582,-53.63227462768555,4426,97,,,
21.500640869140625,45,6.77099256,0.0003,332,21.87,0.21,5542,0.009999999776482582,-52.48989486694336,4543,99,,,
13.33230972290039,45,6.1129757,0.0003,336,22.29,0.21,5652,0.009999999776482582,-51.742462158203125,4653,101,,,
28.089805603027344,46,5.453023010000001,0.0003,340,22.87,0.22,5780,0.009999999776482582,-52.98838424682617,4781,103,,,
77.20494079589844,46,4.36548725,0.0003,344,23.21,0.22,5897,0.009999999776482582,-52.429386138916016,4898,105,,,
18.75681495666504,43,3.6869251200000006,0.0003,348,23.66,0.22,6009,0.009999999776482582,-49.34244155883789,5010,114,0.2,31.7,-25.134764054782877
28.052610397338867,44,0.63006245,0.0003,352,24.16,0.19,6137,0.009999999776482582,-49.7851676940918,5138,116,,,
42.30574035644531,44,-2.3395967,0.0003,356,24.72,0.19,6265,0.009999999776482582,-48.676246643066406,5266,118,,,
81.76705932617188,44,-3.4059774000000003,0.0003,360,25.3,0.19,6396,0.009999999776482582,-50.04093551635742,5397,120,,,
9.46255111694336,44,-4.199360899999999,0.0003,364,25.51,0.18,6497,0.009999999776482582,-47.705078125,5498,122,,,
12.913434982299805,45,-4.35589208,0.0003,368,25.89,0.18,6617,0.009999999776482582,-48.38417434692383,5618,124,,,
13.346302032470703,45,-6.391517829999999,0.0003,372,25.84,0.15,6695,0.009999999776482582,-47.21500778198242,5696,125,,,
42.6701545715332,45,-6.989597109999998,0.0003,376,25.75,0.14,6765,0.009999999776482582,-46.83869552612305,5766,126,,,
24.564451217651367,45,-8.31950378,0.0003,380,25.49,0.12,6843,0.009999999776482582,-45.400455474853516,5844,128,,,
25.778430938720703,45,-9.2490924,0.0003,384,25.36,0.11,6918,0.009999999776482582,-46.195980072021484,5919,129,,,
17.311748504638672,45,-8.01037998,0.0003,388,25.17,0.12,6988,0.009999999776482582,-45.27754211425781,5989,130,,,
17.190582275390625,44,-8.922753180000003,0.0003,392,25.07,0.11,7064,0.009999999776482582,-44.80078887939453,6065,136,0.15,18.35,9.022190367918125
28.291812896728516,44,-8.48623903,0.0003,396,24.91,0.11,7135,0.009999999776482582,-45.44622802734375,6136,137,,,
48.241783142089844,44,-9.30300802,0.0003,400,24.71,0.1,7204,0.009999999776482582,-44.89161682128906,6205,138,,,
9.43210506439209,44,-8.877074659999998,0.0003,404,24.5,0.1,7278,0.009999999776482582,-44.423583984375,6279,140,,,
69.90650939941406,44,-9.10284724,0.0003,408,24.33,0.09,7349,0.009999999776482582,-43.733680725097656,6350,141,,,
7.28746223449707,45,-9.12888659,0.0003,412,24.43,0.09,7443,0.009999999776482582,-44.440879821777344,6444,142,,,
36.95441436767578,45,-9.037482440000002,0.0003,416,24.22,0.08,7532,0.009999999776482582,-41.56209945678711,6533,144,,,
35.613014221191406,45,-9.8301191,0.0003,420,23.97,0.07,7610,0.009999999776482582,-40.387901306152344,6611,145,,,
68.77226257324219,45,-11.6697612,0.0003,424,23.77,0.04,7691,0.009999999776482582,-41.18829345703125,6692,147,,,
3.629966974258423,45,-11.43142159,0.0003,428,23.67,0.04,7792,0.009999999776482582,-39.07707595825195,6793,148,,,
7.072815895080566,45,-11.861425799999997,0.0003,432,23.42,0.03,7884,0.009999999776482582,-39.2994384765625,6885,150,,,
20.498186111450195,45,-11.655377879999998,0.0003,436,23.3,0.03,7982,0.009999999776482582,-39.9777946472168,6983,152,,,
13.695366859436035,44,-11.292804360000002,0.0003,440,22.92,0.02,8072,0.009999999776482582,-38.97123718261719,7073,159,0.25,23.4,1.0440681805318
57.74488830566406,44,-9.93314482,0.0003,444,22.58,0.03,8155,0.009999999776482582,-37.04507827758789,7156,160,,,
46.058223724365234,44,-9.87643096,0.0003,448,22.37,0.03,8246,0.009999999776482582,-37.51844024658203,7247,162,,,
42.33513641357422,44,-8.59556611,0.0003,452,21.85,0.03,8322,0.009999999776482582,-36.87347412109375,7323,163,,,
16.82315444946289,44,-5.981911140000002,0.0003,456,21.46,0.03,8411,0.009999999776482582,-36.60496520996094,7412,165,,,
4.410953998565674,44,-5.449029310000001,0.0003,460,21.06,0.03,8502,0.009999999776482582,-36.28413391113281,7503,166,,,
9.169543266296387,45,-4.775909350000001,0.0003,464,20.89,0.04,8586,0.009999999776482582,-37.40545654296875,7587,168,,,
5.0010576248168945,45,-3.9951857599999987,0.0003,468,20.5,0.05,8667,0.009999999776482582,-33.69129943847656,7668,169,,,
34.816680908203125,45,-4.02318981,0.0003,472,20.53,0.05,8748,0.009999999776482582,-35.04616928100586,7749,171,,,
3.5794005393981934,45,-3.4898419800000005,0.0003,476,20.59,0.06,8824,0.009999999776482582,-34.36143112182617,7825,172,,,
18.10591697692871,45,-4.4668484699999995,0.0003,480,20.65,0.05,8908,0.009999999776482582,-33.51913833618164,7909,173,,,
26.078514099121094,44,-4.2748063300000005,0.0003,484,20.81,0.06,8999,0.009999999776482582,-30.695159912109375,8000,181,0.15,26.2,-15.759519306571514
8.801135063171387,44,-5.79314376,0.0003,488,21.19,0.05,9107,0.009999999776482582,-31.805278778076172,8108,183,,,
31.782194137573242,44,-5.83657016,0.0003,492,21.21,0.05,9185,0.009999999776482582,-31.480789184570312,8186,184,,,
17.224063873291016,44,-5.319382429999999,0.0003,496,21.29,0.06,9264,0.009999999776482582,-29.289323806762695,8265,186,,,
7.037569999694824,44,-5.31611214,0.0003,500,21.37,0.06,9341,0.009999999776482582,-33.899078369140625,8342,187,,,
11.716974258422852,44,-4.538151770000001,0.0003,504,21.32,0.07,9410,0.009999999776482582,-31.41449546813965,8411,188,,,
46.75277328491211,44,-4.71806547,0.0003,508,21.45,0.07,9494,0.009999999776482582,-28.254770278930664,8495,189,,,
45.407684326171875,44,-3.95670011,0.0003,512,21.37,0.08,9580,0.009999999776482582,-29.10685920715332,8581,191,,,
19.192272186279297,44,-3.958542569999999,0.0003,516,21.16,0.08,9648,0.009999999776482582,-28.47323989868164,8649,192,,,
8.356026649475098,45,-3.5202321499999996,0.0003,520,21.07,0.08,9717,0.009999999776482582,-27.4778995513916,8718,193,,,
20.51517105102539,45,-2.682243719999999,0.0003,524,20.95,0.09,9786,0.009999999776482582,-26.77884292602539,8787,194,,,
17.763484954833984,45,-1.5874141799999992,0.0003,528,20.64,0.1,9856,0.009999999776482582,-30.659204483032227,8857,195,,,
3.550693988800049,45,-1.3671691899999996,0.0003,532,20.39,0.1,9923,0.009999999776482582,-29.14879608154297,8924,197,,,
18.156816482543945,44,-1.0741603300000004,0.0003,536,20.17,0.1,9999,0.009999999776482582,-27.968997955322266,9000,203,0.15,19.95,4.320369684645206
